bg,bg_cheese,counts,cps,detrad,detx,dety,exptime,flux,flux_bgsub,flux_bgsub_cheese,mag,mag_bgsub,mag_bgsub_cheese,response,t0,t0_data,t1,t1_data,t_mean
7.012258748198201,5.138674404763611,16.0,3.3629682935840433,277.14291758084966,169.51910400390625,246.09498596191406,5.556190450635332,6.927714684783129e-16,4.327866254527012e-16,5.022511944189058e-16,18.763193068099376,19.273983473020866,19.112365605346664,0.8563759711430701,992632971.995,992632972.8,992632981.995,992632981.485,992632976.183125
7.7757908833093285,5.717130916938801,13.0,2.0075628740228333,276.5997377069666,168.87924194335938,248.04405212402344,7.539607464707286,4.1355795204870365e-16,2.0110485956878767e-16,2.57352343944792e-16,19.32332711087217,20.106111638001273,19.838347730612906,0.8591040007444969,992632981.995,992632982.675,992632991.995,992632991.855,992632987.7246152
6.977251830178011,5.160440431109675,6.0,1.417743761528755,273.990207490062,170.59368896484375,250.18885803222656,4.912752869172534,2.920552148749235e-16,-5.127028063825625e-19,7.566925834142397e-17,19.701005637639025,,21.16736935759923,0.8617702704846875,992632991.995,992632996.66,992633001.995,992633000.785,992632998.6549999
11.641757906106166,8.591799918727723,15.0,2.1285001946437414,273.2382801680043,171.00775146484375,250.93052673339844,8.189098196596113,4.384710400966107e-16,1.4561802123127234e-16,2.2234091920080887e-16,19.259815764430407,20.45663023784528,19.997119558955593,0.8608579757821251,992633001.995,992633002.35,992633011.995,992633011.425,992633007.2520001
12.358133733381491,9.209563353990408,21.0,2.9716635412235304,271.724350233899,172.79534912109375,250.9625244140625,8.19452672577876,6.121626894920472e-16,3.014948944785833e-16,3.8064595711581253e-16,18.897500909941716,19.666468145458428,19.41336499726656,0.8626421444998161,992633011.995,992633012.365,992633021.995,992633021.615,992633016.8871428
6.999478557223336,5.144559201945124,15.0,2.120935609520938,271.3724650167193,173.36618041992188,250.73471069335938,8.20500979361581,4.369127355613132e-16,2.6117954095746017e-16,3.077502821020506e-16,19.263681290582984,19.82232016533103,19.64417190166423,0.8621723063295427,992633021.995,992633022.175,992633031.995,992633031.885,992633026.898
7.649988789599513,5.812675410216806,14.0,1.9807859076491967,271.60815525302587,174.49905395507812,248.60543823242188,8.212376273717524,4.080418969757345e-16,2.1614887623082252e-16,2.622362136272016e-16,19.3379061561198,20.02778559603267,19.817936386957307,0.8609780546972321,992633031.995,992633034.1,992633041.995,992633041.71,992633039.0442857
12.386444592221213,9.189446146984697,19.0,2.6804388373221166,272.00403085002534,174.89378356933594,247.3127899169922,8.214234893312417,5.52170400488356e-16,2.4153798990621523e-16,3.2171364695431157e-16,19.0094852453147,19.907204431536606,19.595994341229005,0.8632101681791418,992633041.995,992633042.445,992633051.995,992633051.895,992633047.9449999
9.141751981823504,7.002712506320246,12.0,1.7195645209300234,273.91829416339294,173.52268981933594,245.92449951171875,8.218235458659963,3.5423029131158483e-16,1.250812339830777e-16,1.7869884255248714e-16,19.49145381020659,20.621687658162937,20.234363702041197,0.8497157895371589,992633051.995,992633053.03,992633061.995,992633061.84,992633056.3954166
6.10496246091083,4.661670167414581,9.0,1.2768078314033995,275.96034845978005,172.5219268798828,243.76991271972656,8.221046054144924,2.630224132691003e-16,1.1004647095412475e-16,1.462119674739167e-16,19.81468615551271,20.76072775127613,20.452210748041768,0.8575811695319941,992633061.995,992633062.435,992633071.995,992633070.745,992633066.1894444
13.191844158386864,9.7411270589096,7.0,0.9977185840370708,276.8040084936779,171.81173706054688,243.3137664794922,8.221369045964767,2.0553002831163658e-16,-1.2501344704317842e-16,-3.855002245804603e-17,20.082479845765754,,,0.8534016427428869,992633071.995,992633072.355,992633081.995,992633080.065,992633076.6292858
10.734609605865092,8.12012129047961,12.0,1.6952370804173402,277.94893258341295,169.65199279785156,244.45127868652344,8.228542864279206,3.4921883856597206e-16,8.047993603101949e-17,1.4593315197128643e-16,19.50692389185731,21.10044899463363,20.454283143967036,0.8606175440866579,992633081.995,992633083.125,992633091.995,992633090.425,992633086.20375
13.222309552352577,9.720286667528983,15.0,2.1210895715194056,278.12002459884724,168.6237030029297,245.67645263671875,8.225295946511293,4.3694445173299754e-16,1.0579578723541049e-16,1.9350287023461183e-16,19.263602478172007,20.80349711458709,20.147949522654308,0.8599417475415512,992633091.995,992633092.885,992633101.995,992633100.365,992633096.4396669
6.1803556853435415,4.603763606997716,8.0,1.8904787866616277,277.0247129350893,168.77755737304688,247.42584228515625,4.9367711390184965,3.894386300522953e-16,1.315467336428759e-16,1.9733426135958727e-16,19.38857047888967,20.566967878790784,20.12666181488771,0.8574448744142124,992633101.995,992633102.235,992633111.995,992633107.915,992633104.51
10.791273199450856,8.073314726253766,11.0,1.9365999513208856,274.5754649252855,169.70281982421875,250.48446655273438,6.584343853191898,3.9893958997210243e-16,6.132018116658726e-17,1.463551456159572e-16,19.36240020849837,21.395659477723523,20.45114806055573,0.8628574409196896,992633111.995,992633115.155,992633121.995,992633121.9,992633118.8886364
9.980842857224863,7.526636127683279,16.0,2.2584213399111595,272.90242245990396,171.2764434814453,251.13339233398438,8.232141106482732,4.652347960216988e-16,2.1547551687508667e-16,2.7688925842130935e-16,19.195487577940707,20.03117322303484,19.758902780544478,0.860808598550115,992633121.995,992633122.035,992633131.995,992633131.235,992633126.58
